sku,name,description,spec1,spec2,spec3,spec4,price,badge,badge_type,icon
UCP204,UCP204 Pillow Block Bearing,"Two-bolt pillow block unit with 20mm bore. Chrome steel insert with cast iron housing, set screw locking, pre-lubricated and ready to mount.",Bore: 20mm,Dynamic Load: 2878 lbf,Cast Iron Housing,Set Screw Lock,8.95,In Stock,badge-stock,circle
UCP205,UCP205 Pillow Block Bearing,"Standard 25mm bore pillow block widely used across HVAC, conveyors, and fan assemblies. Pre-greased chrome steel insert with two set screws.",Bore: 25mm,Dynamic Load: 3596 lbf,Cast Iron Housing,Set Screw Lock,9.75,In Stock,badge-stock,circle
UCP206,UCP206 Pillow Block Bearing,"Heavy-duty 30mm bore pillow block for demanding industrial environments. Self-aligning UC insert with relubrication port and anti-rotation pin.",Bore: 30mm,Dynamic Load: 4272 lbf,Cast Iron Housing,Relubricatable,12.50,In Stock,badge-stock,circle
UCP207,UCP207 Pillow Block Bearing,"35mm bore two-bolt pillow block rated for high radial loads. Ideal for agricultural machinery, paper mills, and food processing equipment.",Bore: 35mm,Dynamic Load: 5170 lbf,Cast Iron Housing,Set Screw Lock,14.25,In Stock,badge-stock,circle
UCP209,UCP209 Pillow Block Bearing,"45mm bore industrial pillow block for heavy load applications. Wide inner ring design provides superior shaft grip and extended service life.",Bore: 45mm,Dynamic Load: 7194 lbf,Cast Iron Housing,Wide Inner Ring,19.95,Popular,badge-pop,circle
UCP210,UCP210 Pillow Block Bearing,"50mm bore pillow block built for high-torque shaft support in pumps, fans, and conveyors. Grease fitting included for field maintenance.",Bore: 50mm,Dynamic Load: 8094 lbf,Cast Iron Housing,Relubricatable,22.50,In Stock,badge-stock,circle
UCF204,UCF204 4-Bolt Flange Bearing,"Four-bolt square flange unit with 20mm bore. Mounts perpendicular to shaft axis for superior rigidity. Chrome steel insert with slinger seal.",Bore: 20mm,Dynamic Load: 2878 lbf,4-Bolt Square Flange,Anti-Rotation Pin,10.25,In Stock,badge-stock,angular
UCF205,UCF205 4-Bolt Flange Bearing,"25mm bore four-bolt flange unit ideal for conveyor frames and equipment panels. Dimensionally interchangeable with major brand equivalents.",Bore: 25mm,Dynamic Load: 3596 lbf,4-Bolt Square Flange,Set Screw Lock,11.95,Popular,badge-pop,angular
UCF206,UCF206 4-Bolt Flange Bearing,"30mm bore four-bolt flange unit for high-stability shaft mounting. Pre-lubricated with grease for immediate deployment in the field.",Bore: 30mm,Dynamic Load: 4272 lbf,4-Bolt Square Flange,Relubricatable,14.75,In Stock,badge-stock,angular
UCF209,UCF209 4-Bolt Flange Bearing,"45mm bore four-bolt flange unit for heavy industrial shaft support. Cast iron housing with chrome steel insert handles high radial and axial loads.",Bore: 45mm,Dynamic Load: 7194 lbf,4-Bolt Square Flange,Wide Inner Ring,24.50,In Stock,badge-stock,angular
UCF205-DUP,UCF205 4-Bolt Flange Bearing (Bulk Pack),"Bulk-priced UCF205 four-bolt flange unit — 25mm bore. Same premium specs as standard UCF205 but available in volume packs for plant and MRO stocking.",Bore: 25mm,Dynamic Load: 3596 lbf,Bulk Pricing,Set Screw Lock,10.80,New,badge-new,angular
UCFL204,UCFL204 2-Bolt Flange Bearing,"20mm bore oval two-bolt flange unit. Compact footprint for space-constrained applications. Cast iron housing with grease access port and set screw insert.",Bore: 20mm,Dynamic Load: 2878 lbf,Oval 2-Bolt Flange,Relubricatable,9.50,In Stock,badge-stock,coupling
UCFL205,UCFL205 2-Bolt Flange Bearing,"25mm bore two-bolt oval flange unit. Low-profile design suits HVAC brackets, fitness equipment, and light conveyor frames.",Bore: 25mm,Dynamic Load: 3596 lbf,Oval 2-Bolt Flange,Set Screw Lock,10.95,In Stock,badge-stock,coupling
UCFL206,UCFL206 2-Bolt Flange Bearing,"30mm bore two-bolt flange unit with cast iron oval housing. Pre-greased chrome steel UC206 insert for ready-to-run installation.",Bore: 30mm,Dynamic Load: 4272 lbf,Oval 2-Bolt Flange,Relubricatable,13.25,Popular,badge-pop,coupling
UCFL207,UCFL207 2-Bolt Flange Bearing,"35mm bore two-bolt oval flange unit suited for pumps, fans, and film processing machinery. Wide inner ring ensures secure shaft engagement.",Bore: 35mm,Dynamic Load: 5170 lbf,Oval 2-Bolt Flange,Wide Inner Ring,15.75,In Stock,badge-stock,coupling
UCFL208,UCFL208 2-Bolt Flange Bearing,"40mm bore two-bolt flange unit for medium-heavy duty mounting surfaces. Dimensionally standardized for cross-brand interchangeability.",Bore: 40mm,Dynamic Load: 6247 lbf,Oval 2-Bolt Flange,Set Screw Lock,18.50,New,badge-new,coupling
