sku,name,description,spec1,spec2,spec3,spec4,price,badge,badge_type,icon
RC35-10,#35 Roller Chain - 10ft,"ANSI #35 single-strand roller chain, 10ft box with connecting link. Heat-treated rollers and pins for high wear resistance.",Pitch: 3/8in,Tensile: 2100 lbf,Single Strand,Connecting Link Incl,,In Stock,badge-stock,belt
RC40-10,#40 Roller Chain - 10ft,"ANSI #40 single-strand roller chain, 10ft box. The most common general-purpose drive chain for industrial machinery.",Pitch: 1/2in,Tensile: 3700 lbf,Single Strand,Connecting Link Incl,,In Stock,badge-stock,belt
RC50-10,#50 Roller Chain - 10ft,"ANSI #50 single-strand roller chain, 10ft box. Heavier pitch for higher-load conveyor and equipment drives.",Pitch: 5/8in,Tensile: 6100 lbf,Single Strand,Connecting Link Incl,,In Stock,badge-stock,belt
RC60-10,#60 Roller Chain - 10ft,"ANSI #60 single-strand roller chain, 10ft box. Heavy-duty pitch for agricultural and high-torque applications.",Pitch: 3/4in,Tensile: 8500 lbf,Single Strand,Connecting Link Incl,,In Stock,badge-stock,belt
SP40-15T,40B15 Sprocket - 15 Tooth,"Hardened-tooth #40 sprocket, 15 teeth, 5/8in bore with set screw. Type B hub for balanced drives.",Pitch: 1/2in,Teeth: 15,Bore: 5/8in,Set Screw,,In Stock,badge-stock,circle
SP50-18T,50B18 Sprocket - 18 Tooth,"Hardened-tooth #50 sprocket, 18 teeth, 3/4in bore. Durable cast steel for sustained chain drives.",Pitch: 5/8in,Teeth: 18,Bore: 3/4in,Set Screw,,In Stock,badge-stock,circle
SP60-20T,60B20 Sprocket - 20 Tooth,"Hardened-tooth #60 sprocket, 20 teeth, 1in bore. Heavy-duty profile for high-torque transmission.",Pitch: 3/4in,Teeth: 20,Bore: 1in,Set Screw,,In Stock,badge-stock,circle
VBA42,A42 V-Belt,"Classic wrapped A-section V-belt, 44in outside length. Oil and heat resistant cover for HVAC and light drives.",Section: A,Length: 44in OD,Top Width: 1/2in,Wrapped,,In Stock,badge-stock,belt
VBB55,B55 V-Belt,"Wrapped B-section V-belt, 58in outside length. Higher load capacity for pumps and compressors.",Section: B,Length: 58in OD,Top Width: 21/32in,Wrapped,,In Stock,badge-stock,belt
VBC68,C68 V-Belt,"Heavy-duty wrapped C-section V-belt, 72in outside length. For high-horsepower industrial drives.",Section: C,Length: 72in OD,Top Width: 7/8in,Wrapped,,In Stock,badge-stock,belt
CP-L075,L075 Jaw Coupling Set,Complete L075 jaw coupling: two hubs plus NBR spider. Absorbs misalignment and shock between motor and load.,Type: L075,Max Bore: 5/8in,NBR Spider,Set Screw,,In Stock,badge-stock,coupling
CP-L095,L095 Jaw Coupling Set,Complete L095 jaw coupling with NBR spider insert. Higher torque rating for mid-size motor drives.,Type: L095,Max Bore: 7/8in,NBR Spider,Set Screw,,In Stock,badge-stock,coupling
CP-L100,L100 Jaw Coupling Set,"Complete L100 jaw coupling with NBR spider. Rugged choice for pumps, blowers, and gearbox connections.",Type: L100,Max Bore: 1-1/8in,NBR Spider,Set Screw,,In Stock,badge-stock,coupling
